MONTH,DAY_OF_WEEK,DEP_DEL15,CONCURRENT_FLIGHTS,CARRIER_NAME,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,SNOW,AWND
9,7,0,8,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,4,0.0,3.58
2,3,0,27,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,2,0.8,8.05
9,1,0,9,Frontier Airlines Inc.,0.0001157256482767,7.134694872433899e-06,8,0.0,2.24
1,1,1,12,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,21,0.0,6.71
10,6,0,17,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,18,0.0,11.86
1,1,0,36,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,10,0.0,4.7
11,5,0,21,Comair Inc.,0.0,8.999810569042966e-05,15,0.0,12.08
10,5,0,33,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,1,0.0,12.75
12,3,1,20,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,20,0.0,8.05
12,4,0,35,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,2,0.0,4.7
7,3,1,57,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,8.05
3,5,0,10,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,7,0.0,4.92
2,3,0,8,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,19,0.0,6.93
4,4,0,21,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,14,0.0,2.91
8,6,0,26,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,2,0.0,13.2
9,7,0,57,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,3,0.0,4.47
4,2,0,5,JetBlue Airways,0.0001600389254787,0.0001268661761139,1,0.0,10.96
9,2,0,52,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,0,0.0,13.2
11,6,0,11,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,2,0.0,12.53
4,1,0,39,JetBlue Airways,0.0001600389254787,0.0001268661761139,16,0.0,19.91
12,3,0,6,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,19,0.0,9.17
10,7,0,6,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,13,0.0,8.5
2,2,1,21,JetBlue Airways,0.0001600389254787,0.0001268661761139,1,0.0,8.28
10,3,0,21,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,11.18
4,4,1,7,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,8.5
12,7,0,31,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,18,0.0,4.47
4,1,0,11,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,18,0.0,4.92
9,1,0,35,Endeavor Air Inc.,0.0,9.351277617445625e-05,5,0.0,6.49
8,7,0,8,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,10,0.0,5.37
6,7,0,12,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,11,0.0,9.62
8,5,0,76,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,23,0.0,6.26
4,7,0,45,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,16.11
12,4,0,44,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,4,0.0,4.7
5,1,0,32,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,13,0.0,10.51
8,6,0,29,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,17,0.0,9.17
3,5,0,22,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,2,0.0,6.04
3,2,0,41,Mesa Airlines Inc.,0.0,9.131157116170832e-05,15,0.0,3.58
3,6,0,4,Endeavor Air Inc.,0.0,9.351277617445625e-05,11,0.0,6.71
11,6,0,9,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,18,0.0,2.68
9,2,0,25,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,10.29
12,4,1,23,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,15.66
8,6,0,12,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,3,0.0,3.8
7,6,0,65,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,20,0.0,12.53
3,1,1,35,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,13,0.0,8.5
7,3,0,75,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,19,0.0,7.83
2,3,0,69,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,8,0.0,10.07
1,3,0,13,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,2,0.0,14.32
5,3,0,5,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,16,0.0,10.96
10,1,0,86,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,23,0.0,5.14
5,5,0,84,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,5.14
7,6,0,23,JetBlue Airways,0.0001600389254787,0.0001268661761139,4,0.0,8.72
3,5,0,39,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,14,0.0,10.96
1,4,0,18,Comair Inc.,0.0,8.999810569042966e-05,15,0.0,14.99
1,7,0,19,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,19,0.0,20.36
