,MONTH,DAY_OF_WEEK,DEP_DEL15,CONCURRENT_FLIGHTS,CARRIER_NAME,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,SNOW,AWND
4784886,9,7,0,8,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,4,0.0,3.58
872911,2,3,0,27,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,2,0.8,8.05
4530448,9,1,0,9,Frontier Airlines Inc.,0.0001157256482767,7.134694872433899e-06,8,0.0,2.24
42854,1,1,1,12,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,21,0.0,6.71
5081977,10,6,0,17,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,18,0.0,11.86
44680,1,1,0,36,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,10,0.0,4.7
5587466,11,5,0,21,Comair Inc.,0.0,8.999810569042966e-05,15,0.0,12.08
5289570,10,5,0,33,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,1,0.0,12.75
6075991,12,3,1,20,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,20,0.0,8.05
6045620,12,4,0,35,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,2,0.0,4.7
3357864,7,3,1,57,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,8.05
1405655,3,5,0,10,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,7,0.0,4.92
874022,2,3,0,8,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,19,0.0,6.93
1712991,4,4,0,21,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,14,0.0,2.91
4194746,8,6,0,26,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,2,0.0,13.2
4601504,9,7,0,57,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,3,0.0,4.47
1565996,4,2,0,5,JetBlue Airways,0.0001600389254787,0.0001268661761139,1,0.0,10.96
4338060,9,2,0,52,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,0,0.0,13.2
5898748,11,6,0,11,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,2,0.0,12.53
1683723,4,1,0,39,JetBlue Airways,0.0001600389254787,0.0001268661761139,16,0.0,19.91
6256918,12,3,0,6,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,19,0.0,9.17
