,MONTH,DAY_OF_WEEK,DEP_DEL15,CONCURRENT_FLIGHTS,CARRIER_NAME,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,SNOW,AWND
3808173,8,4,0,31,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,18,0.0,8.28
2861285,6,7,0,20,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,17,0.0,12.53
1880876,4,5,0,64,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,15,0.0,14.32
2861238,6,7,0,27,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,2,0.0,12.53
5617638,11,6,0,57,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,21,0.0,6.26
1932947,4,6,1,19,JetBlue Airways,0.0001600389254787,0.0001268661761139,16,0.0,9.4
1216118,3,4,0,32,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,11,0.0,6.71
5521489,11,3,0,54,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,18,0.0,9.17
3648809,7,5,1,32,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,11,0.0,15.21
3512192,7,3,0,49,Comair Inc.,0.0,8.999810569042966e-05,15,0.0,6.04
3292494,7,5,1,48,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,25,0.0,5.59
3220754,7,7,0,36,Endeavor Air Inc.,0.0,9.351277617445625e-05,11,0.0,9.4
926719,2,7,0,10,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,12,0.5,3.58
6330895,12,7,0,88,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,19,0.0,14.32
3362292,7,1,0,3,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,13,0.0,4.03
4887019,10,3,1,55,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,2,0.0,10.96
3721938,7,1,0,5,Hawaiian Airlines Inc.,0.0001204942176112,0.0001978496657113,21,0.0,6.26
1485794,3,2,0,33,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,19,0.0,10.51
635421,2,2,1,4,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,11,0.4,16.78
2069944,5,2,0,87,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,22,0.0,17.0
2927480,6,1,1,23,Frontier Airlines Inc.,0.0001157256482767,7.134694872433899e-06,1,0.0,5.14
2642169,6,7,0,32,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,18,0.0,7.38
1570884,4,1,0,15,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,20,0.0,10.29
4128632,8,6,1,3,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,17,0.0,3.8
2772011,6,4,0,25,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,5,0.0,6.04
6360104,12,3,0,7,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,16,0.0,14.32
411034,1,4,0,62,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,11,0.0,10.96
6477264,12,2,0,8,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,19,0.0,10.74
4849500,10,3,0,34,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,17,0.0,7.16
4199983,8,3,0,53,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,5.82
4651384,9,3,0,74,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,11,0.0,12.75
2741592,6,1,1,33,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,12,0.0,7.61
3292775,7,7,1,88,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,18,0.0,6.26
211300,1,5,0,24,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,14,0.0,7.83
4858801,10,5,1,36,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,12,0.0,6.49
3802914,8,1,0,86,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,18,0.0,13.87
4440062,9,3,0,4,JetBlue Airways,0.0001600389254787,0.0001268661761139,8,0.0,14.99
4852232,10,7,0,11,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,3,0.0,9.4
5967310,12,3,0,20,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,12,0.0,3.58
3481373,7,1,0,21,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,15,0.0,11.18
2914720,6,3,0,70,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,6,0.0,7.16
6344345,12,2,0,48,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,23,0.0,11.86
3828971,8,2,0,67,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,15,0.0,6.71
3213614,7,5,0,17,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,4,0.0,5.14
1160588,3,6,0,1,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,6,0.0,4.92
670735,2,3,0,17,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,18,0.0,10.29
3925167,8,3,1,17,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,7,0.0,7.38
1409053,3,4,0,7,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,15,0.0,6.71
5451307,11,1,0,31,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,19,0.0,8.5
1455878,3,4,0,8,JetBlue Airways,0.0001600389254787,0.0001268661761139,12,0.0,12.75
4202296,8,6,1,47,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,18,0.0,7.61
4970361,10,2,0,32,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,2,0.0,5.37
5890682,11,1,1,3,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,1,0.0,11.18
3502796,7,1,0,24,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,3,0.0,14.54
6152062,12,7,0,44,Frontier Airlines Inc.,0.0001157256482767,7.134694872433899e-06,14,0.0,9.4
3261218,7,5,0,32,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,2,0.0,7.38
3551527,7,3,0,38,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,13,0.0,5.59
1703072,4,3,0,22,JetBlue Airways,0.0001600389254787,0.0001268661761139,2,0.0,11.86
543780,2,3,0,76,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,14,0.0,7.38
3010192,6,6,1,47,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,21,0.0,3.13
73599,1,5,0,55,Comair Inc.,0.0,8.999810569042966e-05,16,0.0,3.13
851076,2,1,0,6,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,10.07
265110,1,1,0,8,Endeavor Air Inc.,0.0,9.351277617445625e-05,10,0.0,5.82
5823538,11,5,0,42,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,13,0.0,9.17
28507,1,2,1,21,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,17,0.0,11.41
3968850,8,5,0,6,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,2,0.0,9.17
2064215,5,5,0,62,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,2,0.0,9.4
6394536,12,6,0,7,JetBlue Airways,0.0001600389254787,0.0001268661761139,17,0.0,12.53
2862007,6,7,1,21,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,11,0.0,5.82
1651012,4,1,0,29,JetBlue Airways,0.0001600389254787,0.0001268661761139,11,0.0,8.05
5350665,10,5,0,9,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,17,0.0,6.71
4491255,9,1,0,13,JetBlue Airways,0.0001600389254787,0.0001268661761139,3,0.0,6.71
384689,1,7,0,8,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,12,0.0,14.76
117078,1,5,1,11,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,17.22
6297721,12,4,0,24,JetBlue Airways,0.0001600389254787,0.0001268661761139,8,0.0,6.93
5168034,10,3,0,29,Allegiant Air,1.3252580061983644e-05,0.0001077434759039,11,0.0,3.8
23470,1,5,0,48,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,11,0.0,5.37
569293,2,3,1,52,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,9.4
1380661,3,6,0,7,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,15.21
211739,1,5,0,57,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,11,0.0,4.7
4774144,9,2,0,62,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,18,0.0,5.59
725938,2,3,0,33,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,6,0.0,9.4
3179244,7,3,0,31,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,4,0.0,11.41
288888,1,4,0,38,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,14,0.0,6.93
4531460,9,7,0,13,JetBlue Airways,0.0001600389254787,0.0001268661761139,10,0.0,7.83
4178699,8,5,0,10,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,19,0.0,6.04
